"vp" "sex" "alter" "bed" "e1" "e2" "e3" "e4" "w1" "w2" "w3" "w4"
1 0 33 0 1 1 1 1 1 1 1 1
2 1 26 1 1 1 1 1 1 1 1 1
3 0 28 0 1 1 1 1 1 2 1 1
4 1 24 1 2 1 1 1 1 1 1 2
5 0 29 0 2 1 1 1 1 1 1 1
6 0 27 1 1 1 1 1 1 1 1 1
7 0 25 0 2 1 1 1 1 1 1 1
8 0 33 1 1 1 1 1 1 1 1 1
9 0 27 0 1 1 1 1 1 1 1 1
10 0 28 1 1 2 1 1 1 1 1 1
11 1 25 0 2 1 1 1 1 1 1 1
12 1 23 1 1 1 1 2 1 1 1 2
13 1 27 0 1 1 1 1 1 1 1 2
14 0 30 1 1 1 1 1 1 1 1 1
15 1 28 0 2 2 2 2 2 1 2 1
16 0 29 1 2 2 2 2 1 2 1 1
17 0 38 0 1 1 1 1 1 1 1 1
18 0 27 1 2 2 2 2 2 1 2 2
19 1 30 0 1 1 1 1 1 1 1 1
20 0 28 1 1 1 1 1 1 1 1 1
21 1 32 0 2 1 1 1 1 1 1 1
22 1 29 1 3 2 1 2 2 2 2 1
23 0 27 0 2 1 2 1 1 1 1 1
24 0 29 1 3 2 3 3 1 1 1 1
25 1 30 0 2 1 1 2 1 1 1 1
26 1 24 1 3 3 2 3 2 3 2 1
27 0 26 0 2 2 3 2 2 1 2 2
28 1 24 1 1 1 1 1 1 1 1 1
29 1 25 0 1 1 1 1 1 1 1 1
30 1 31 1 4 1 1 1 1 1 1 1
31 0 34 0 1 1 1 1 1 1 1 4
32 1 26 1 1 1 1 1 1 1 1 1
33 0 25 1 1 1 1 1 1 1 1 1
34 0 42 0 1 1 1 1 1 1 1 1
35 1 29 0 1 1 1 1 1 1 1 1
36 0 26 1 1 1 1 1 1 1 1 1
37 1 24 0 1 1 1 1 1 1 1 1
38 0 36 1 1 1 1 1 1 1 1 1
39 1 33 0 2 1 1 2 2 1 1 2
40 1 28 1 2 2 1 1 1 1 1 1
41 0 29 0 3 3 2 2 2 3 2 2
42 1 41 1 3 1 1 1 2 1 2 1
43 0 41 0 1 1 1 1 1 1 1 1
44 1 29 1 2 1 1 1 1 1 1 1
45 1 28 0 2 2 2 1 1 2 2 2
46 1 35 1 2 1 2 1 1 2 1 1
47 0 30 0 1 1 1 1 1 1 1 1
49 0 26 0 2 1 1 2 1 1 1 1
50 0 41 1 2 1 1 2 1 1 2 1
51 1 36 0 1 1 1 1 1 2 1 1
52 1 26 1 1 1 1 1 1 1 1 1
53 0 27 0 1 1 1 1 1 1 1 1
54 0 29 1 3 2 2 2 2 2 2 1
55 0 33 0 3 3 2 3 1 3 1 2
56 1 26 1 3 1 1 1 1 1 1 1
57 1 28 0 2 1 1 1 1 1 1 1
58 0 27 1 2 1 2 2 3 2 3 1
60 0 38 1 2 1 1 2 1 1 1 1
61 1 37 0 1 1 1 2 1 1 2 1
62 1 21 1 2 1 2 1 1 1 1 1
63 0 26 0 1 1 1 1 1 1 1 1
64 0 34 1 2 1 2 2 1 1 1 1
65 1 31 0 1 2 2 1 1 1 1 1
66 0 27 1 2 2 1 2 1 1 1 1
67 0 30 0 1 2 1 1 2 2 3 3
68 0 28 1 2 1 1 1 1 1 1 1
69 0 28 0 2 1 1 1 2 1 3 3
70 0 26 1 2 2 2 2 2 1 1 2
71 0 25 0 1 1 1 1 1 1 1 1
72 1 21 1 1 1 1 1 1 1 1 1
73 1 24 0 2 2 1 2 3 2 2 2
74 1 27 1 3 3 3 3 4 3 4 3
75 1 24 0 1 1 1 1 1 1 1 1
76 1 23 1 1 1 1 1 1 1 1 1
77 0 23 0 2 1 1 1 1 1 1 1
78 0 28 1 1 1 1 1 1 1 1 1
79 1 27 0 1 1 1 1 1 2 2 2
80 1 36 1 3 2 2 2 1 1 1 1
81 0 40 0 2 1 1 1 1 1 1 1
82 1 38 1 1 1 1 1 1 4 1 1
83 1 42 0 1 2 1 2 1 1 1 1
84 1 29 1 1 1 1 1 1 1 1 1
85 1 27 0 1 1 1 1 1 2 1 1
86 1 17 1 2 1 2 2 2 1 1 2
87 1 18 0 2 3 1 3 1 1 1 2
88 1 17 1 3 1 1 2 1 1 1 1
89 1 17 0 2 2 1 2 1 1 1 1
90 1 24 1 2 2 1 2 1 1 1 1
91 1 18 0 3 2 1 3 1 1 1 1
92 1 16 1 2 2 2 2 2 2 2 1
93 1 34 0 1 1 3 1 1 1 1 1
94 0 30 1 1 1 2 2 1 2 2 2
95 1 23 0 2 1 1 1 2 1 1 1
96 1 31 1 2 2 1 2 1 1 2 1
97 0 29 0 2 2 2 2 2 2 2 1
98 0 27 1 2 1 1 1 1 1 1 1
99 1 26 0 2 1 1 1 1 1 1 1
100 1 31 1 1 1 1 1 1 2 1 1
101 0 28 0 1 1 1 2 1 1 1 1
103 0 29 0 1 1 1 1 1 2 2 1
104 1 30 1 2 1 1 1 1 2 1 1
105 0 26 0 1 1 1 1 1 1 1 1
106 0 32 1 1 1 1 1 1 2 1 1
107 1 33 0 2 1 1 1 1 1 1 1
109 0 43 0 3 4 3 4 2 1 2 2
